Acura Integra GS-R                  20015   7.0  15.6  133  185  25  0.84
Acura Integra LS                    18560   7.5  15.9  125  189  25  0.82
Acura NSX-T                         86642   5.2  13.8  162  173  18  0.95
AM General Hummer                   71760  18.1  21.2   83  253  10  0.62
Audi A6 Quattro                     36802   8.3  16.5  127  191  18  0.79
Audi Cabriolet                      40960   9.7  17.2  126  189  18  0.73
BMW M3                              38782   5.3  14.0  138  165  19  0.88
BMW 318ti                           22770   7.8  16.1  116  175  22   .
BMW 325i                            36015   7.7  16.0  127  182  20  0.82
BMW 540i Six-speed                  54044   5.7  14.3  129  186  14  0.78
BMW 740i                            66837   8.4  16.6  127  181  16  0.79
BMW 840Ci                           74790   7.1  15.5  155  170  15  0.83
BMW 850CSi                         108395   5.3  13.9  158  167  12  0.85
Buick Park Avenue Ultra             33797   7.0  15.5  107  216  17  0.74
Buick Regal Gran Sport              24305   8.3  16.5  110  202  19  0.79
Buick Riviera                       30643   8.2  16.3  109  199  19  0.75
Cadillac Eldorado Touring Coupe     45626   6.4  14.8  148  184  16  0.80
Cadillac SLS                        46501   6.7  15.0  115  195  16  0.77
Chevrolet Blazer LT                 26969   9.1  17.0  103  218  16  0.67
Chevrolet Camaro                    20509   7.7  15.9  114  192  19  0.83
Chevrolet Camaro Convertible        22484   9.3  17.0  110  195  19  0.84
Chevrolet Camaro Z28                22686   5.5  14.1  156  162  17  0.86
Chevrolet Cavalier                  13417   8.8  16.7  113  209  25  0.76
Chevrolet Corvette                  42614   5.1  13.7  161  166  17  0.85
Chevrolet Impala SS                 23355   6.5  15.0  142  179  17  0.86
Chevy Suburban Turbodiesel          35242  13.6  19.2   96  218  15  0.69
Chevrolet Lumina LS                 19900   8.0  16.3  119  205  17  0.79
Chevrolet Monte Carlo LS            18530   8.7  16.7  113  197  19  0.80
Chevrolet Tahoe LT                  31877  11.3  18.2   99  198  12  0.68
Chrysler Cirrus LXi                 19600   9.0  17.0  124  202  20  0.76
Chrysler Sebring LX                 17660   8.2  16.4  129  191  22  0.76
Chrysler Town & Country             26160  10.9  18.1  106  196  17  0.71
Dodge Avenger ES                    20800   9.1  17.0  120  190  20  0.80
Dodge Intrepid                      19837   9.5  17.2  111  195  20  0.74
Dodge Neon Sport Coupe              15155   7.6  16.0  115  207  29  0.82
Dodge Stratus ES                    16195   8.9  16.8  121  197  25  0.78
Dodge Viper RT/10                   61975   4.3  12.8  168  180  14  0.98
Eagle Talon TSi AWD                 22000   6.6  15.3  137  169  21  0.85
Ferrari F355                       128800   4.5  13.0  179  165  10  1.02
Ford Contour SE                     20140   8.8  16.9  112  183  22  0.82
Ford Crown Victoria LX              25900   8.8  16.8  106  190  17  0.81
Ford Explorer XLT                   25625  10.7  17.9  106  199  15  0.67
Ford Mustang Cobra R                35000   5.4  14.0  151  165  .   0.89
Ford Mustang GT SVO GT40            23975   5.5  14.2  151  170  .   0.85
Ford Probe GT                       20815   7.4  15.9  131  164  21  0.86
Ford Windstar LX                    26700  11.4  18.3  104  195  17  0.72
Guldstrand GS90                    144695   4.6  12.9  176  172  17  0.95
Honda Accord LX V-6                 22680   8.8  17.0  128  182  23  0.75
Honda Civic DX                      13210   8.7  16.7  110  198  35  0.72
Honda Odyssey EX                    25390  10.7  18.1  108  192  20  0.73
Honda Passport EX                   25975  10.4  18.0  103  189  15  0.70
Honda Prelude VTEC                  24942   6.5  15.1  137  181  22  0.86
Hyundai Elantra GLS                 12965  10.0  17.3  113  193  21  0.81
Hyundai Sonata GLS                  19516   9.3  17.1  118  189  18  0.77
Infiniti G20t                       25325   8.3  16.5  125  176  24  0.83
Infiniti I30t                       35200   7.7  16.1  127  189  21  0.78
Infiniti Q45                        57025   7.8  16.1  143  187  17  0.69
Isuzu Trooper LS                    32580  10.9  18.1  105  193  15  0.69
Jaguar XJR                          71193   6.4  14.8  152  162  15  0.80
Jaguar XJS 4.0 Convertible          66210   8.3  16.4  144  194  17  0.81
Jaguar XJ6                          61788   8.1  16.3  139  189  17  0.74
Jeep Grand Cherokee Limited         31332   8.0  16.3  114  180  14  0.75
Kia Sephia GS                       12065  10.2  17.6  109  197  27  0.75
Lamborghini Diablo VT              275056   5.9  14.0  185  164   9  0.89
Land Rover Discovery                35192  10.9  18.3  105  204  13  0.67
Lexus LS400                         57828   7.8  15.8  156  182  19  0.74
Lexus SC300                         44225   6.8  15.4  138  178  18  0.84
Lincoln Continental                 46152   7.6  15.7  123  178  17  0.78
Lincoln Town Car Signature Series   43627   9.0  16.9  106  186  17  0.79
Lingenfelter Firebird 383           34958   4.1  12.6  183  150  15  0.95
Lotus Esprit S4S                    87904   4.4  13.0  162  189  17  0.94
Mazda Miata R Edition               19905   8.2  16.4  119  169  22  0.86
Mazda Millenia S                    33595   7.7  16.0  144  189  20  0.81
Mazda Protege ES                    17870   8.9  17.0  120  195  26  0.76
Mazda RX-7                          35252   5.3  14.0  157  156  17  0.99
Mazda 626ES                         24015   8.4  16.8  118  189  20  0.80
Mercedes-Benz C36                   51750   6.0  14.6  152  163  18  0.83
Mercedes-Benz C220                  31500   8.8  16.9  131  178  22  0.80
Mercedes-Benz E420                  55130   7.3  15.7  127  185  18  0.73
Mercedes-Benz S320                  72037   8.1  16.4  132  178  17  0.72
Mitsubishi Eclipse GS               18668   8.6  16.7  124  189  22  0.82
Mitsubishi Galant GS                21838   7.8  16.1  131  207  22  0.77
Mitsubishi Montero SR               39796  10.5  17.9  106  191  14  0.66
Mitsubishi 3000GT VR4               43190   5.1  13.9  153  164  18  0.92
Nissan Maxima SE                    25586   7.3  15.9  123  187  21  0.75
Nissan Quest GXE                    24219  11.2  18.3  105  178  17  0.71
Nissan Sentra GXE                   13914   8.5  16.7  109  208  30  0.78
Nissan 200SX SE-R                   17400   8.0  16.1  109  182  24  0.85
Nissan 240SX SE                     23000   7.7  16.0  118  170  22  0.89
Nissan 300ZX Turbo                  38806   5.6  14.2  155  175  18  0.89
Nissan 300ZX 2+2                    37688   6.8  15.3  145  177  18  0.87
Oldsmobile Aurora                   32390   8.2  16.4  132  185  16  0.78
Oldsmobile Eighty Eight LSS         25817   7.2  15.5  109  198  17  0.80
Pontiac Bonneville SE               28662   7.0  15.5  127  186  17  0.81
Pontiac Grand Am GT Coupe           17414   9.5  17.0  113  185  22  0.79
Pontiac Sunfire GT                  15400   8.9  16.9  114  183  21  0.79
Pontiac Trans Am 25th Anniversary   28965   6.1  14.6  153  166  17  0.84
Porsche Carrera 4                   71973   4.9  13.6  161  163  16  0.90
Porsche 911 Carrera                 66775   4.7  13.4  162  168  17  0.86
Porsche 911 Turbo                  106465   3.7  12.3  176  162  13  0.95
Range Rover 4.0 SE                  54625  10.5  17.9  113  185  13  0.73
Rolls-Royce Silver Spur III        211520   9.3  17.0  130  191  10  0.70
Saab 900S                           22430   7.6  16.1  126  188  20  0.75
Saab 900SE Convertible              40377   8.6  16.7  132  184  18  0.77
Saab 900SE Turbo                    29460   6.5  15.3  142  171  21  0.82
Saab 9000CDE                        40157   8.3  16.3  132  178  18  0.75
Saleen Mustange S351                37319   5.1  13.9  147  171  16  0.87
Saturn SC2                          17340   7.6  16.0  122  174  25  0.84
Subaru Impreza L                    18709   9.6  17.3  109  182  22   .
Subaru Legacy L                     19584  10.4  17.9  108  176  22  0.75
Subaru Legacy Outback Wagon         21123  10.6  17.9  108  166  22  0.82
Subaru SVX LS                       29420   7.6  15.9  136  174  17  0.83
Toyota Avalon XL                    25689   7.5  15.7  130  175  20  0.81
Toyota Camry DX                     19978  10.7  18.1  116  196  21  0.75
Toyota Camry SE                     24984   7.9  16.2  132  177  18  0.78
Toyota Celica GT                    25459   8.0  16.5  117  173  22  0.87
Toyota Celica GT Convertible        28120   9.0  16.9  115  175  22  0.85
Toyota Corolla DX                   13498   9.3  17.1  110  197  27  0.77
Toyota Land Cruiser                 41631  10.7  17.9  108  178  12  0.72
Toyota Supra                        41642   6.5  15.0  141  173  18  0.92
Toyota Tercel                       12595   9.2  17.0  110  195  33  0.75
Toyota T100                         22634   8.9  16.8  103  201  17  0.69
Volkswagen Cabrio                   21800  10.3  17.6  109  182  23  0.81
Volkswagen GTI VR6                  19265   6.6  15.2  130  179  18  0.78
Volkswagen Jetta III GLX            20365   6.9  15.5  136  208  18  0.78
Volswagen Passat GLX                22930   8.6  16.5  131  178  18  0.81
Volvo 850 Turbo                     33266   6.1  14.6  150  172  19  0.81
Volvo 850 T-5R                      38056   6.7  15.2  149  181  19  0.79
Volvo 960                           30360   8.6  16.6  129  190  17  0.80

